LSOA11CD,LSOA11NM,area,NO2,NOx,PM25,PM10,AQ,IMD,IMD_R,population,pop_density,LAD11NM
E01000001,City_of_London 001A,0.133320769,42.88667933,80.49970457,13.54187609,23.79400887,186.6853426,6.208,9,1636,12271.15635,City_of_London
E01000002,City_of_London 001B,0.226191273,38.81134673,67.60933747,13.0559479,22.68991077,201.076203,5.143,10,1558,6887.975734,City_of_London
E01000003,City_of_London 001C,0.057302967,38.8682183,67.8866707,12.88570759,21.91615868,203.7585642,19.402,5,1786,31167.67086,City_of_London
E01000005,City_of_London 001E,0.190738761,39.98235442,73.94560698,13.40798175,23.96327599,192.2713514,28.652,3,1888,9898.35519,City_of_London
E01000006,Barking_and_Dagenham 016A,0.144195847,26.61890745,40.26464086,10.60540928,16.25772913,281.0719014,19.837,5,2094,14521.91617,Barking_and_Dagenham
E01000007,Barking_and_Dagenham 015A,0.198134809,29.64025484,49.16738885,11.01483753,17.46314086,256.2492951,31.576,3,2502,12627.76596,Barking_and_Dagenham
E01000008,Barking_and_Dagenham 015B,0.193425099,32.06210607,56.34549169,11.34421515,18.78277475,238.8094035,37.596,2,1597,8256.425918,Barking_and_Dagenham
E01000009,Barking_and_Dagenham 016B,0.128591526,29.24773072,48.01286169,10.99760032,17.41822074,258.3994857,32.844,3,1929,15000.98846,Barking_and_Dagenham
E01000010,Barking_and_Dagenham 015C,0.348848342,29.0566853,47.12170307,10.93964296,17.63182074,259.1924191,32.437,3,3579,10259.47258,Barking_and_Dagenham
E01000011,Barking_and_Dagenham 016C,0.09029768,27.15217165,41.44773975,10.72144738,16.60967568,275.7045339,30.679,3,1726,19114.55537,Barking_and_Dagenham
E01000012,Barking_and_Dagenham 015D,0.140353449,27.45216962,42.19588694,10.68165886,16.45517349,275.1153175,34.714,2,2343,16693.56907,Barking_and_Dagenham
E01000013,Barking_and_Dagenham 013A,0.208625861,25.09148303,38.58639545,10.37936244,15.67850334,292.0681218,38.997,2,1855,8891.51515,Barking_and_Dagenham
E01000014,Barking_and_Dagenham 013B,0.340176822,23.67019035,33.68464418,10.19583777,15.14605298,308.720834,35.67,2,1661,4882.754773,Barking_and_Dagenham
E01000015,Barking_and_Dagenham 009A,0.279995868,23.29678345,33.26304849,10.23224132,15.5820359,308.0526583,33.632,2,2452,8757.272101,Barking_and_Dagenham
E01000016,Barking_and_Dagenham 009B,0.196129928,23.67603323,34.48432269,10.26452465,15.50451607,304.6995926,32.839,3,1724,8790.091447,Barking_and_Dagenham
E01000017,Barking_and_Dagenham 009C,0.160789821,24.11843897,35.59162929,10.29964041,15.4777893,301.2593882,39.004,2,1538,9565.282136,Barking_and_Dagenham
E01000018,Barking_and_Dagenham 009D,0.173501498,23.29793864,33.21848909,10.22301898,15.32455627,309.577135,33.406,2,1718,9901.931786,Barking_and_Dagenham
E01000019,Barking_and_Dagenham 023A,0.181817813,23.87367172,34.0601037,10.20041738,15.11197272,307.542494,33.62,2,1563,8596.517436,Barking_and_Dagenham
E01000020,Barking_and_Dagenham 023B,0.18841443,24.74823402,36.73456944,10.36199913,15.54339471,296.6832491,36.035,2,1930,10243.37681,Barking_and_Dagenham
E01000021,Barking_and_Dagenham 008A,0.171351203,25.20553175,37.65687288,10.39026156,15.69603907,292.9543726,38.888,2,1756,10247.9584,Barking_and_Dagenham
E01000022,Barking_and_Dagenham 008B,0.128353001,24.21025011,34.98279267,10.28643178,15.35351534,302.8146922,34.413,2,1433,11164.52274,Barking_and_Dagenham
E01000023,Barking_and_Dagenham 008C,0.213389436,25.91374987,39.45556458,10.5165481,16.11443447,285.3429098,36.877,2,3853,18056.18907,Barking_and_Dagenham
